Date,Close,High,Low,Open
1/3/2000,80.13130951,81.34702199,76.74845739,81.34702199
1/4/2000,74.63421631,79.07421218,74.36993084,77.80564193
1/5/2000,72.73131561,75.79702514,71.25131791,73.99988507
1/6/2000,67.73634338,74.42276355,67.44562946,73.47133617
1/7/2000,76.11417389,76.11417389,69.77132607,70.14132552
1/10/2000,78.22843933,79.44415156,76.06130013,76.95987004
1/11/2000,74.42276764,78.54561982,73.57705437,77.5941924
1/12/2000,72.78417206,75.473275,72.731315,75.26845389
1/13/2000,77.17131805,77.38274632,73.64310882,74.8456071
1/14/2000,78.96845245,79.17988071,77.80559706,78.65131007
1/18/2000,79.39131927,79.86703291,77.32989354,77.85846424
1/19/2000,81.18846893,81.18846893,78.16900846,79.06757875
1/20/2000,80.39558411,81.92843877,79.50362127,80.76558351
1/21/2000,81.39987946,81.66416478,80.39559523,81.61130771
1/24/2000,77.48844147,82.56271867,76.9334424,82.40414751
1/25/2000,78.65132904,79.59614927,75.61204717,77.69990167
1/26/2000,75.47991943,78.91563005,75.26849109,78.86277297
1/27/2000,76.58994293,78.22851314,74.10565907,77.5942279
1/28/2000,72.73131561,76.51059546,71.6741744,76.1141675
1/31/2000,75.84986877,76.11415403,70.61702068,72.62558864
2/1/2000,77.88484955,78.22842031,74.79271266,75.71771088
2/2/2000,78.54559326,80.10487657,77.88487999,78.01702265
2/3/2000,81.61127472,81.71698881,78.0434243,79.76127821
2/4/2000,82.16630554,83.08469702,81.37344959,82.03416288
2/7/2000,83.30270386,83.40841795,81.39985022,82.24556295
2/8/2000,86.79129028,87.00271852,84.04272323,84.04272323
2/9/2000,83.72559357,86.4279111,83.5141653,86.31558983
2/10/2000,86.47414398,86.47414398,83.34897053,84.41271879
2/11/2000,84.46557617,86.31557315,82.87986448,86.31557315
2/14/2000,84.35985565,84.57128386,82.66842997,84.56467673
2/15/2000,84.96778107,85.09992381,81.08278455,83.67278223
2/16/2000,84.57128906,85.99842957,83.98986145,84.49200348
2/17/2000,86.36840057,87.31982726,84.25411904,85.575545
2/18/2000,83.2498703,87.10843572,83.2498703,86.79129335
2/22/2000,83.51415253,84.51843664,81.39987018,83.72558076
2/23/2000,88.16557312,88.79985782,83.85772287,84.30040074
2/24/2000,90.06845093,90.32612915,86.26274173,88.69416705
2/25/2000,88.0070343,90.91417357,87.84846307,89.80417494
2/28/2000,87.95411682,89.38125694,84.99412251,87.31983232
2/29/2000,90.27986908,90.57058294,88.74701416,89.43415602
3/1/2000,91.01985931,91.81271523,90.06843221,90.70271695
3/2/2000,88.91214752,91.49553533,88.58839816,91.38982125
3/3/2000,93.92700958,93.97986665,90.49130017,91.33701326
3/6/2000,94.66702271,95.75059276,93.23988166,94.50845148
3/7/2000,93.23983765,96.30554659,91.97126843,96.25268954
3/8/2000,94.08557892,94.71986372,89.88344211,93.87415065
3/9/2000,97.2569809,97.67983733,92.26198921,94.05912908
3/10/2000,96.83415985,98.47272915,95.9950538,97.1513023
3/13/2000,94.29701996,96.51701707,92.63202213,93.02845018
3/14/2000,90.80843353,95.88271154,88.79986515,95.35414092
3/15/2000,87.00272369,90.49128977,86.15701071,90.06843328
3/16/2000,91.97128296,92.39413943,85.41700762,89.11700176
3/17/2000,93.71560669,93.92703502,91.28418091,91.33703799
3/20/2000,91.07272339,94.29700437,89.85701089,93.87414785
3/21/2000,94.50844574,94.66701696,87.58416923,89.75130921
3/22/2000,96.41127777,98.07627517,93.979853,95.98842129
3/23/2000,98.10269165,99.58268915,96.04126656,96.8209081
3/24/2000,99.42412567,101.9084074,97.27020057,99.35805435
3/27/2000,99.58267975,101.0626771,99.05410926,99.79410794
3/28/2000,97.04558563,99.6355822,95.67130174,98.93522598
3/29/2000,93.02848053,97.62704747,93.02848053,97.57419037
3/30/2000,90.70272827,95.35415023,87.53130421,90.70272827
3/31/2000,92.60557556,93.55700271,87.95415396,91.45593443
4/3/2000,87.05557251,92.28842113,85.20557552,91.13878015
4/4/2000,86.20983887,87.90126428,74.68700326,87.63697906
4/5/2000,84.67702484,87.90130606,81.39988655,82.45702794
4/6/2000,86.68556976,87.84842497,84.35985935,86.57985565
4/7/2000,90.17414856,90.80843331,86.79129656,88.05986606
4/10/2000,84.67702484,91.07273021,83.93702587,91.01987314
4/11/2000,82.66845703,85.83988121,80.39560303,82.13988633
4/12/2000,77.80558014,83.51414173,76.32558269,82.56271479
4/13/2000,74.42276764,81.18847379,74.42276764,78.49276274
4/14/2000,67.97418976,74.84560863,65.96562117,72.78418297
4/17/2000,75.79705811,76.11420061,65.96564053,65.9788548
4/18/2000,77.80558014,78.65129297,73.89415831,75.67808381
4/19/2000,75.42707825,79.17993218,75.32136405,78.22850442
4/20/2000,73.78846741,76.93346297,72.78418311,76.43132082
4/24/2000,71.67417145,72.09702792,67.55132088,70.56417322
4/25/2000,76.5105896,76.53701813,72.73131004,73.1541665
4/26/2000,73.89414215,78.16234814,73.68271399,76.64270824
4/27/2000,77.17131805,78.21524513,69.55990038,71.03989826
4/28/2000,80.13130951,80.13130951,77.91131281,79.12702529
5/1/2000,80.871315,81.92845638,79.70845949,80.97702914
5/2/2000,76.21988678,80.87130844,75.90274439,80.23702367
5/3/2000,75.37416077,76.32558776,72.32166583,75.6913031
5/4/2000,75.53271484,76.74842684,74.10557468,75.26842963
5/5/2000,77.32989502,78.06989401,74.44918464,74.52847025
5/8/2000,74.31703949,76.74846468,74.21132535,76.5370364
5/9/2000,72.73131561,75.37416865,71.30417497,74.84559804
5/10/2000,67.44562531,71.87240518,67.23419701,71.35704872
5/11/2000,71.56845093,72.09702147,68.3970277,69.98273931
5/12/2000,71.56845093,74.05273246,71.03988039,72.20273557
5/15/2000,74.68703461,74.95131994,69.87704158,71.7270389
5/16/2000,76.80130768,77.38273533,74.47559705,76.1141659
5/17/2000,75.21559143,76.53701784,74.21130736,75.47987671
5/18/2000,72.51989746,75.57239314,72.20275505,75.268465
5/19/2000,69.08419037,71.88561507,68.76704795,70.82847368
5/22/2000,69.03131866,69.55988925,63.91739824,69.03131866
5/23/2000,63.26993942,69.87707595,62.79422559,68.81993411
5/24/2000,67.23418427,67.55132664,61.10276495,63.42847572
5/25/2000,65.75417328,69.55988106,64.69703223,67.86845538
5/26/2000,65.75417328,67.02274254,64.0627476,65.75417328
5/30/2000,72.36134338,72.67848587,67.65706321,67.65706321
5/31/2000,70.29991913,73.29955853,69.98277664,71.43634639
6/1/2000,73.89414215,74.73985479,71.03986198,72.04414575
6/2/2000,79.17989349,79.44417885,69.77133472,78.33418035
6/5/2000,79.37810516,80.60703205,77.69989318,78.01703561
6/6/2000,77.17131805,80.34274208,76.85417565,78.80988714
6/7/2000,79.23269653,79.49698171,75.74413218,77.43555732
6/8/2000,78.8627243,80.2370077,77.4884409,80.02557949
6/9/2000,79.28557587,80.13128868,78.65129126,80.13128868
6/12/2000,76.74845886,79.76131159,76.11417408,79.76131159
6/13/2000,79.70844269,80.02558503,75.57237794,76.53701924
6/14/2000,77.91127777,80.23698756,77.38270737,80.23698756
6/15/2000,79.28557587,79.39128997,76.85415154,77.69986435
6/16/2000,79.70844269,80.60701267,78.7041586,80.13129915
6/19/2000,82.87985229,83.09128049,78.38700316,79.51021544
6/20/2000,82.56275177,84.30703526,82.19275224,83.09132252
6/21/2000,83.61989594,84.33346648,81.76989824,81.87561239
6/22/2000,80.55414581,83.72556888,79.9198612,83.40842657
6/23/2000,77.38275909,80.76561195,77.27704494,80.34275534
6/26/2000,79.49705505,79.85384037,77.80562835,78.70419879
6/27/2000,78.54559326,80.39559041,78.12273677,79.29880639
6/28/2000,79.49705505,80.76562508,78.22848503,78.63812743
6/29/2000,77.50165558,78.96843883,76.64272845,78.59843945
6/30/2000,79.02127838,79.45734898,77.22413894,77.64699528
7/3/2000,80.55414581,80.55414581,78.86272018,79.07414838
7/5/2000,77.43561554,79.47061294,76.85418771,79.17989903
7/6/2000,79.49705505,80.13134007,76.16705873,77.43562876
7/7/2000,81.1355896,82.03415965,79.86702012,80.34273368
7/10/2000,79.90665436,81.08272385,79.49701217,80.07843979
7/11/2000,80.34274292,80.97702773,78.49274555,79.5498869
7/12/2000,82.24557495,82.66843138,80.02557871,80.71272041
7/13/2000,83.30270386,84.35984477,82.13984885,82.82699045
7/14/2000,85.09990692,85.5227636,83.56705146,84.78276441
7/17/2000,86.05130768,86.31559302,84.46559562,85.36416579
7/18/2000,84.14846039,85.23203039,83.1838188,84.88845941
7/19/2000,82.24557495,83.67271539,80.89772009,83.14414486
7/20/2000,84.88843536,84.99414948,82.25879672,82.77415304
7/21/2000,82.03416443,84.16166128,82.03416443,83.24987692
7/24/2000,80.34274292,83.72559525,79.70845811,82.8270251
7/25/2000,80.97702026,82.03416152,79.33845132,80.87130614
7/26/2000,80.871315,81.29417155,78.86274639,80.76560087
7/27/2000,77.69986725,80.39557693,77.43558199,79.44414998
7/28/2000,73.47129822,78.54557493,72.73129953,77.96414739
7/31/2000,75.63845825,76.21988595,72.49346296,74.1056034
8/1/2000,74.63421631,76.10100066,74.15850247,75.95564365
8/2/2000,73.31278229,76.4445648,73.15421102,74.31706698
8/3/2000,76.48416138,77.17130312,70.45845689,71.25131274
8/4/2000,76.21988678,78.45309775,75.37417375,77.80559871
8/7/2000,78.01702881,78.67774213,76.32560271,76.85417337
8/8/2000,79.60275269,79.70846683,77.3827556,77.85846926
